cost_price,promo_price,promo_volume,promo_pe
95.0,0.0,0.0,0.0
199.0,0.0,0.0,0.0
42.0,0.0,0.0,0.0
98.0,0.0,0.0,0.0
78.0,0.0,0.0,0.0
68.0,0.0,0.0,0.0
180.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0
80.0,109.95,10.0,0.0
94.0,0.0,0.0,1.0
26.0,0.0,0.0,0.0
68.0,0.0,0.0,0.0
180.0,0.0,0.0,0.0
52.0,149.95,150.0,0.0
80.0,109.95,480.0,-8.247250000000003
50.0,169.95,350.0,-0.4963020833333336
52.0,149.95,280.0,1.699499999999999
80.0,109.95,80.0,2.6776785714285722
26.0,0.0,0.0,1.0
94.0,0.0,0.0,0.0
58.0,149.95,470.0,0.0
180.0,0.0,0.0,1.0
68.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0
94.0,0.0,0.0,0.0
54.0,149.95,210.0,0.0
68.0,0.0,0.0,1.0
180.0,0.0,0.0,0.0
62.0,149.95,450.0,0.0
80.0,0.0,0.0,1.0
80.0,0.0,0.0,0.0
93.0,0.0,0.0,0.0
79.0,149.95,440.0,0.0
70.0,149.95,380.0,0.0
180.0,0.0,0.0,1.0
68.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0
70.0,0.0,0.0,0.0
180.0,0.0,0.0,0.0
92.0,0.0,0.0,0.0
81.0,104.95,1150.0,0.0
89.0,149.95,50.0,-2.2308212560386487
86.0,149.95,50.0,0.0
26.0,36.95,120.0,-1.8577876106194688
90.0,0.0,0.0,1.0
27.0,36.95,330.0,0.0
89.0,0.0,0.0,1.0
92.0,0.0,0.0,0.0
180.0,0.0,0.0,0.0
71.0,0.0,0.0,0.0
84.0,104.95,2610.0,0.0
84.0,104.95,890.0,0.0
29.0,36.95,110.0,1.352627230667548
180.0,0.0,0.0,1.0
92.0,0.0,0.0,0.0
92.0,0.0,0.0,0.0
71.0,0.0,0.0,0.0
90.0,0.0,0.0,0.0
84.0,104.95,900.0,0.0
72.0,0.0,0.0,1.0
180.0,0.0,0.0,0.0
94.0,0.0,0.0,0.0
90.0,0.0,0.0,0.0
29.0,36.95,170.0,0.0
180.0,0.0,0.0,1.0
94.0,0.0,0.0,0.0
84.0,104.95,350.0,0.0
91.0,0.0,0.0,1.0
29.0,0.0,0.0,0.0
72.0,119.95,180.0,0.0
72.0,119.95,580.0,0.0
84.0,0.0,0.0,1.0
180.0,0.0,0.0,0.0
29.0,0.0,0.0,0.0
94.0,0.0,0.0,0.0
91.0,0.0,0.0,0.0
94.0,0.0,0.0,0.0
29.0,0.0,0.0,0.0
92.0,0.0,0.0,0.0
84.0,0.0,0.0,0.0
91.0,0.0,0.0,0.0
105.0,0.0,0.0,0.0
180.0,0.0,0.0,0.0
72.0,119.95,780.0,0.0
92.0,0.0,0.0,1.0
86.0,0.0,0.0,0.0
73.0,119.95,870.0,0.0
180.0,0.0,0.0,1.0
91.0,0.0,0.0,0.0
29.0,39.95,250.0,0.0
95.0,0.0,0.0,1.0
73.0,119.95,850.0,0.0
91.0,0.0,0.0,1.0
29.0,39.95,430.0,0.0
180.0,0.0,0.0,1.0
50.0,0.0,0.0,0.0
91.0,0.0,0.0,0.0
95.0,0.0,0.0,0.0
95.0,159.95,120.0,0.0
180.0,259.95,120.0,0.0
92.0,0.0,0.0,1.0
91.0,159.95,30.0,0.0
29.0,39.95,470.0,-19.549444444444443
73.0,119.95,370.0,-0.10625000000000001
91.0,109.95,710.0,-11.022432432432437
50.0,0.0,0.0,1.0
105.0,0.0,0.0,0.0
92.0,0.0,0.0,0.0
91.0,109.95,1580.0,0.0
29.0,44.95,150.0,1.5309493670886076
50.0,0.0,0.0,1.0
180.0,259.95,560.0,0.0
91.0,159.95,290.0,1.2533303571428571
95.0,159.95,200.0,0.0
73.0,0.0,0.0,1.0
92.0,0.0,0.0,0.0
91.0,159.95,160.0,0.0
180.0,259.95,600.0,4.398625
95.0,159.95,390.0,0.909825
29.0,44.95,330.0,0.21397993311036792
105.0,0.0,0.0,1.0
91.0,109.95,1180.0,0.0
73.0,0.0,0.0,1.0
50.0,0.0,0.0,0.0
29.0,44.95,350.0,0.0
92.0,109.95,1040.0,1.3633186813186815
91.0,159.95,140.0,-1.9029807692307699
180.0,259.95,440.0,3.4274999999999998
95.0,159.95,200.0,1.417909090909091
92.0,0.0,0.0,1.0
73.0,0.0,0.0,0.0
105.0,0.0,0.0,0.0
95.0,154.95,120.0,0.0
73.0,119.95,200.0,-2.9514285714285733
180.0,259.95,160.0,-0.17135714285714282
50.0,0.0,0.0,1.0
92.0,109.95,410.0,0.0
92.0,169.95,10.0,-1.7878048780487812
29.0,44.95,90.0,-10.876800000000001
91.0,154.95,160.0,0.31782828282828285
73.0,119.95,480.0,-8.85428571428572
91.0,149.95,250.0,-1.9158680555555563
50.0,0.0,0.0,1.0
105.0,0.0,0.0,0.0
92.0,0.0,0.0,0.0
29.0,0.0,0.0,0.0
92.0,169.95,20.0,0.0
180.0,0.0,0.0,1.0
96.0,149.95,320.0,0.0
180.0,0.0,0.0,1.0
29.0,0.0,0.0,0.0
91.0,149.95,340.0,0.0
73.0,119.95,840.0,-7.350490196078437
50.0,0.0,0.0,1.0
97.0,149.95,270.0,0.0
92.0,0.0,0.0,1.0
